path,audio,transcription,english_transcription,intent_class,lang_id,intent_class_interpret,file_format,sampling_rate_ori,duration,wav2vec_predicted,wav2vec_inference_time
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baf1f5f67b421554f64ce.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baf1f5f67b421554f64ce.wav', 'array': array([ 0.        ,  0.        ,  0.00024414, ..., -0.00024414,
       -0.00024414,  0.        ]), 'sampling_rate': 8000}",I need help setting up a joint account,I need help setting up a joint account,11,4,joint_account,wav,8000,5.290657596371882,PLL YOUS LET ME HOPE SUTTING OUTTEY ANJOINA TOWL,PLL YOUS LET ME HOPE SUTTING OUTTEY ANJOINA TOWL
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baf4fbb1e6d0fbce922b8.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baf4fbb1e6d0fbce922b8.wav', 'array': array([ 0.        ,  0.        ,  0.        , ...,  0.        ,
       -0.00048828,  0.00024414]), 'sampling_rate': 8000}",how do I go about setting up a joint account for my wife and I,how do I go about setting up a joint account for my wife and I,11,4,joint_account,wav,8000,6.997414965986395,HOW DO I GO ABOUT S I DID NOT PAY JOIN TO COUNT FOR MY WIFE AND I,HOW DO I GO ABOUT S I DID NOT PAY JOIN TO COUNT FOR MY WIFE AND I
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba81ebb1e6d0fbce920e6.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba81ebb1e6d0fbce920e6.wav', 'array': array([ 0.        ,  0.        ,  0.        , ..., -0.00073242,
       -0.00048828, -0.00097656]), 'sampling_rate': 8000}",hi I was trying to set up a joint account is there a somewhere on the app that I can do that or do I have to do that through you,hi I was trying to set up a joint account is there a somewhere on the app that I can do that or do I have to do that through you,11,4,joint_account,wav,8000,10.922630385487528,Y I WAS TRYING TO SET UP A JOINT A COUNT IS THERE SOMEWHERE ON THE AT THAT I CAN DO THAT OR DO AD TO DO THAT THROUGH YOU,Y I WAS TRYING TO SET UP A JOINT A COUNT IS THERE SOMEWHERE ON THE AT THAT I CAN DO THAT OR DO AD TO DO THAT THROUGH YOU
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baf85963e11ccd901ce47.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baf85963e11ccd901ce47.wav', 'array': array([0.        , 0.00024414, 0.        , ..., 0.00024414, 0.        ,
       0.00024414]), 'sampling_rate': 8000}",I was wanting to set up a joint account with my spouse and I was wondering do we each get separate card debit card and separate way of knowing who is accessing the thank you,I was wanting to set up a joint account with my spouse and I was wondering do we each get separate card debit card and separate way of knowing who is accessing the thank you,11,4,joint_account,wav,8000,14.933378684807256,I WAS WANTING TO SETT UP A JOINT ACCOUNT WITH MY SPOUSE AND I WAS WONDERING DO WE EACH GET A SUPPER CAR DUBIT CARD AND ON A SEPARATE WAY OF KNOWING WHO IS EXCESSING THE ACCOUNT THANK YOU,I WAS WANTING TO SETT UP A JOINT ACCOUNT WITH MY SPOUSE AND I WAS WONDERING DO WE EACH GET A SUPPER CAR DUBIT CARD AND ON A SEPARATE WAY OF KNOWING WHO IS EXCESSING THE ACCOUNT THANK YOU
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bae7a5f67b421554f64b4.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bae7a5f67b421554f64b4.wav', 'array': array([0.        , 0.00024414, 0.        , ..., 0.        , 0.        ,
       0.00024414]), 'sampling_rate': 8000}",how do I set up a joint account,how do I set up a joint account,11,4,joint_account,wav,8000,2.986666666666667,HOW DO I FEEL ETER JOIN A COUNT,HOW DO I FEEL ETER JOIN A COUNT
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602b9b6705f96973d67943ca.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602b9b6705f96973d67943ca.wav', 'array': array([ 0.        ,  0.        ,  0.        , ...,  0.        ,
       -0.00024414, -0.00024414]), 'sampling_rate': 8000}",I was hoping to set up a joint account,I was hoping to set up a joint account,11,4,joint_account,wav,8000,4.864036281179138,HA I WAS HOPIN TO SET UP A JOIN A COUNT AN HE HELTI TAT,HA I WAS HOPIN TO SET UP A JOIN A COUNT AN HE HELTI TAT
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bacde05f96973d67944d9.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bacde05f96973d67944d9.wav', 'array': array([ 0.        ,  0.        ,  0.00024414, ...,  0.00073242,
       -0.00048828, -0.00146484]), 'sampling_rate': 8000}",how do I create a joint account,how do I create a joint account,11,4,joint_account,wav,8000,3.1574149659863946,THE IDLA TREW O TE JORNA PO,THE IDLA TREW O TE JORNA PO
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bae8ebb1e6d0fbce9226f.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bae8ebb1e6d0fbce9226f.wav', 'array': array([ 0.        , -0.00024414,  0.        , ...,  0.00024414,
       -0.00024414,  0.        ]), 'sampling_rate': 8000}",how do I set up a joint account,how do I set up a joint account,11,4,joint_account,wav,8000,5.632018140589569,NON AWAY SET OFF A JOINT ACCOUNT,NON AWAY SET OFF A JOINT ACCOUNT
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bb04b05f96973d679451e.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bb04b05f96973d679451e.wav', 'array': array([ 0.        , -0.00024414, -0.00024414, ..., -0.00024414,
       -0.00024414, -0.00024414]), 'sampling_rate': 8000}",hello how would I go about setting up a joint account with my partner,hello how would I go about setting up a joint account with my partner,11,4,joint_account,wav,8000,8.106666666666667,HULLO HOW WOULD I GO ABOUT SETTING UP A JOINT ACCOUNT WITH MY PARTNER,HULLO HOW WOULD I GO ABOUT SETTING UP A JOINT ACCOUNT WITH MY PARTNER
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bafed963e11ccd901ce4f.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bafed963e11ccd901ce4f.wav', 'array': array([0.        , 0.00024414, 0.        , ..., 0.        , 0.        ,
       0.        ]), 'sampling_rate': 8000}",hello I'd like to set up a joint account was my partner how do I do that,hello I'd like to set up a joint account was my partner how do I do that,11,4,joint_account,wav,8000,7.424036281179139,HULLO I'D LIKE TO SET UP A JOINT ACCOUNT WITH MY PARTNER HOW DO I DO THAT,HULLO I'D LIKE TO SET UP A JOINT ACCOUNT WITH MY PARTNER HOW DO I DO THAT
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba3fe963e11ccd901cc7f.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba3fe963e11ccd901cc7f.wav', 'array': array([0.        , 0.        , 0.        , ..., 0.00024414, 0.00024414,
       0.00024414]), 'sampling_rate': 8000}",I would like to set up a joint account can I do that in the app,I would like to set up a joint account can I do that in the app,11,4,joint_account,wav,8000,8.277414965986395,I AS I CASET AT BUT JOY A COW CAN'T I DO THAT IN THE AIR,I AS I CASET AT BUT JOY A COW CAN'T I DO THAT IN THE AIR
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bae1f963e11ccd901cdf2.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bae1f963e11ccd901cdf2.wav', 'array': array([0.        , 0.00024414, 0.        , ..., 0.00073242, 0.00048828,
       0.00048828]), 'sampling_rate': 8000}",how do I go about setting up a joint account with my partner and he's available on the app,how do I go about setting up a joint account with my partner and he's available on the app,11,4,joint_account,wav,8000,8.277414965986395,HOW DO I GO ABOUT FICKING UP A JOINE A COUNT WITH MY PARTNER AND EASDISABAILABLE ON THE AP,HOW DO I GO ABOUT FICKING UP A JOINE A COUNT WITH MY PARTNER AND EASDISABAILABLE ON THE AP
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba63d05f96973d679444d.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba63d05f96973d679444d.wav', 'array': array([-0.00024414,  0.        ,  0.00024414, ...,  0.        ,
        0.00024414,  0.00024414]), 'sampling_rate': 8000}",how can my wife and I set up a joint account,how can my wife and I set up a joint account,11,4,joint_account,wav,8000,5.479909297052155,HOW CAN MY WIFE AND I SET UP IN JOINT ACCOUNT,HOW CAN MY WIFE AND I SET UP IN JOINT ACCOUNT
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602babccbb1e6d0fbce921b2.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602babccbb1e6d0fbce921b2.wav', 'array': array([0.00024414, 0.        , 0.        , ..., 0.        , 0.        ,
       0.        ]), 'sampling_rate': 8000}",could you please tell me how to set up a joint account,could you please tell me how to set up a joint account,11,4,joint_account,wav,8000,5.205396825396825,COULD YOU PLEASE TELL ME HOW TO SET UP A JOINT ACCOUNT,COULD YOU PLEASE TELL ME HOW TO SET UP A JOINT ACCOUNT
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bad57bb1e6d0fbce921f2.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bad57bb1e6d0fbce921f2.wav', 'array': array([ 0.        ,  0.        ,  0.        , ..., -0.00219727,
        0.00317383,  0.00549316]), 'sampling_rate': 8000}",I'd like to set up a joint account,I'd like to set up a joint account,11,4,joint_account,wav,8000,3.84,I BI TO SET UP A JOINT ACCOUNT,I BI TO SET UP A JOINT ACCOUNT
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba5305f67b421554f6404.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba5305f67b421554f6404.wav', 'array': array([ 0.        ,  0.        ,  0.        , ...,  0.00024414,
       -0.00024414,  0.00024414]), 'sampling_rate': 8000}",can I set up a joint account,can I set up a joint account,11,4,joint_account,wav,8000,4.096009070294785,CEN I SET UP AND JOIN TO COUNT,CEN I SET UP AND JOIN TO COUNT
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba3fa5f67b421554f63ec.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba3fa5f67b421554f63ec.wav', 'array': array([0.        , 0.        , 0.00024414, ..., 0.        , 0.        ,
       0.        ]), 'sampling_rate': 8000}",set up a joint account,set up a joint account,11,4,joint_account,wav,8000,3.669387755102041,SET UP AJOIT ACCOUNT,SET UP AJOIT ACCOUNT
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baafc5f67b421554f646d.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baafc5f67b421554f646d.wav', 'array': array([0.        , 0.        , 0.        , ..., 0.00048828, 0.00048828,
       0.00024414]), 'sampling_rate': 8000}",how to go about setting up a joint account for my partner and myself,how to go about setting up a joint account for my partner and myself,11,4,joint_account,wav,8000,8.618639455782313,HOW'LD I GO ABOUT SETTING UP A JOINT ACCOUNT FOR MY PARTNER AND MYSELF,HOW'LD I GO ABOUT SETTING UP A JOINT ACCOUNT FOR MY PARTNER AND MYSELF
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba857bb1e6d0fbce920ec.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba857bb1e6d0fbce920ec.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 8000}",I'm on your ass and my husband and I are trying to set up a joint account I can see where I set up an account by myself but I'm not sure where to go to set up a joint account can you help me with this please thank you,I'm on your ass and my husband and I are trying to set up a joint account I can see where I set up an account by myself but I'm not sure where to go to set up a joint account can you help me with this please thank you,11,4,joint_account,wav,8000,15.957414965986395,AY I'M ON YOUR AP AND MY HUSBAND AND I ARE TRYING TO SET UP A JOIN TO COUNT I CAN SEE WHERE I SET UP AN ACCOUNT BY MYSELF BUT I'M NOT SURE WHERE TO GO TO SET UP A JOINT ACCOUNT CAN YOU HELP ME WITH IS PLEASE THANK YOU,AY I'M ON YOUR AP AND MY HUSBAND AND I ARE TRYING TO SET UP A JOIN TO COUNT I CAN SEE WHERE I SET UP AN ACCOUNT BY MYSELF BUT I'M NOT SURE WHERE TO GO TO SET UP A JOINT ACCOUNT CAN YOU HELP ME WITH IS PLEASE THANK YOU
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602b9d56bb1e6d0fbce91fa6.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602b9d56bb1e6d0fbce91fa6.wav', 'array': array([-0.00024414,  0.        , -0.00024414, ..., -0.00024414,
        0.        ,  0.        ]), 'sampling_rate': 8000}",open up a joint account with my partner,open up a joint account with my partner,11,4,joint_account,wav,8000,6.826666666666667,HELLO THE GA  OPEN UP A JOINT TO COUNT WITH MY PARTNER I AM ALL JUST WONDERING HOW TO DO THAT,HELLO THE GA  OPEN UP A JOINT TO COUNT WITH MY PARTNER I AM ALL JUST WONDERING HOW TO DO THAT
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baf10963e11ccd901ce24.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baf10963e11ccd901ce24.wav', 'array': array([0.        , 0.        , 0.        , ..., 0.00195312, 0.00244141,
       0.00268555]), 'sampling_rate': 8000}",how would I set up a joint account for myself to my partner,how would I set up a joint account for myself to my partner,11,4,joint_account,wav,8000,4.437414965986394,HOW WOULD I SET UP A JOINT ACCOUNT FOR MYSELF AND MY PARTNER,HOW WOULD I SET UP A JOINT ACCOUNT FOR MYSELF AND MY PARTNER
